,element,event,value
1205,26,30,43
1206,26,31,43
1207,26,32,43
1208,26,33,43
1209,26,34,43
1210,26,35,43
1211,26,36,43
1212,26,37,43
1213,26,38,43
1214,27,1,45
1215,27,2,45
1216,27,3,46
1217,27,4,46
1218,27,5,46
1219,27,6,46
1220,27,7,46
1221,27,8,46
1222,27,9,46
1223,27,10,46
1224,27,11,46
1225,27,12,46
1226,27,13,46
1227,27,14,46
1228,27,15,46
1229,27,16,46
1230,27,17,46
1231,27,18,46
1232,27,19,45
1233,27,20,45
1234,27,21,45
1235,27,22,44
1236,27,23,44
1237,27,24,44
1238,27,25,44
1239,27,26,44
1240,27,27,44
1241,27,28,44
1242,27,29,44
1243,27,30,44
1244,27,31,43
1245,27,32,43
1246,27,33,43
1247,27,34,43
1248,27,35,43
1249,27,36,43
1250,27,37,43
1251,27,38,43
1252,28,1,45
1253,28,2,45
1254,28,3,45
1255,28,4,45
1256,28,5,44
1257,28,6,44
1258,28,7,43
1259,28,8,43
1260,28,9,43
1261,28,10,42
1262,28,11,42
1263,28,12,42
1264,28,13,42
1265,28,14,42
1266,28,15,42
1267,28,16,42
1268,28,17,42
1269,28,18,42
1270,28,19,42
1271,28,20,42
1272,28,21,42
1273,28,22,42
1274,28,23,42
1275,28,24,42
1276,28,25,41
1277,28,26,41
1278,28,27,41
1279,28,28,41
1280,28,29,41
1281,28,30,41
1282,28,31,41
1283,28,32,41
1284,28,33,41
1285,28,34,41
1286,28,35,41
1287,28,36,41
1288,28,37,41
1289,28,38,41
1290,29,1,45
1291,29,2,45
1292,29,3,45
1293,29,4,45
1294,29,5,45
1295,29,6,45
1296,29,7,45
1297,29,8,45
1298,29,9,45
1299,29,10,45
1300,29,11,45
1301,29,12,45
1302,29,13,45
1303,29,14,45
1304,29,15,45
1305,29,16,44
1306,29,17,44
1307,29,18,44
1308,29,19,44
1309,29,20,44
1310,29,21,44
1311,29,22,43
1312,29,23,43
1313,29,24,43
1314,29,25,43
1315,29,26,43
1316,29,27,43
1317,29,28,43
1318,29,29,43
1319,29,30,43
1320,29,31,43
1321,29,32,43
1322,29,33,43
1323,29,34,43
1324,29,35,43
1325,29,36,43
1326,29,37,43
1327,29,38,43
1328,30,1,45
1329,30,2,45
1330,30,3,45
1331,30,4,44
1332,30,5,44
1333,30,6,44
1334,30,7,44
1335,30,8,43
1336,30,9,43
1337,30,10,43
1338,30,11,43
1339,30,12,43
1340,30,13,43
1341,30,14,43
1342,30,15,43
1343,30,16,43
1344,30,17,43
1345,30,18,43
1346,30,19,43
1347,30,20,43
1348,30,21,43
1349,30,22,43
1350,30,23,43
1351,30,24,42
1352,30,25,42
1353,30,26,42
1354,30,27,42
1355,30,28,42
1356,30,29,42
1357,30,30,42
1358,30,31,42
1359,30,32,42
1360,30,33,42
1361,30,34,42
1362,30,35,42
1363,30,36,42
1364,30,37,42
1365,30,38,42
1366,31,1,50
1367,31,2,50
1368,31,3,50
1369,31,4,50
1370,31,5,50
1371,31,6,50
1372,31,7,50
1373,31,8,50
1374,31,9,50
1375,31,10,50
1376,31,11,50
1377,31,12,50
1378,31,13,50
1379,31,14,50
1380,31,15,50
1381,31,16,50
1382,31,17,50
1383,31,18,50
1384,31,19,50
1385,31,20,50
1386,31,21,50
1387,31,22,50
1388,31,23,50
1389,31,24,50
1390,31,25,50
1391,31,26,50
1392,31,27,50
1393,31,28,50
1394,31,29,50
1395,31,30,50
1396,31,31,51
1397,31,32,51
1398,31,33,51
1399,31,34,51
1400,31,35,51
1401,31,36,51
1402,31,37,51
1403,31,38,51
1404,32,1,40
1405,32,2,40
1406,32,3,40
1407,32,4,40
1408,32,5,40
1409,32,6,39
1410,32,7,39
1411,32,8,39
1412,32,9,39
1413,32,10,39
1414,32,11,39
1415,32,12,39
1416,32,13,39
1417,32,14,39
1418,32,15,39
1419,32,16,39
1420,32,17,39
1421,32,18,38
1422,32,19,38
1423,32,20,38
1424,32,21,38
1425,32,22,38
1426,32,23,38
1427,32,24,38
1428,32,25,38
1429,32,26,38
1430,32,27,38
1431,32,28,38
1432,32,29,38
1433,32,30,38
1434,32,31,38
1435,32,32,38
1436,32,33,39
1437,32,34,39
1438,32,35,39
1439,32,36,39
1440,32,37,39
1441,32,38,39
1442,34,1,45
1443,34,2,45
1444,34,3,45
1445,34,4,44
1446,34,5,44
1447,34,6,44
1448,34,7,44
1449,34,8,44
1450,34,9,44
1451,34,10,44
1452,34,11,43
1453,34,12,43
1454,34,13,43
1455,34,14,43
1456,34,15,43
1457,34,16,43
1458,34,17,43
1459,34,18,43
1460,34,19,43
1461,34,20,43
1462,34,21,43
1463,34,22,43
1464,34,23,43
1465,34,24,43
1466,34,25,43
1467,34,26,43
1468,34,27,43
1469,34,28,43
1470,34,29,43
1471,34,30,43
1472,34,31,43
1473,34,32,43
1474,34,33,43
1475,34,34,43
1476,34,35,43
1477,34,36,43
1478,34,37,43
1479,34,38,43
1480,35,1,50
1481,35,2,50
1482,35,3,50
1483,35,4,50
1484,35,5,49
1485,35,6,49
1486,35,7,48
1487,35,8,48
1488,35,9,48
1489,35,10,47
1490,35,11,47
1491,35,12,47
1492,35,13,46
1493,35,14,46
1494,35,15,46
1495,35,16,46
1496,35,17,46
1497,35,18,46
1498,35,19,46
1499,35,20,46
1500,35,21,46
1501,35,22,46
1502,35,23,46
1503,35,24,46
1504,35,25,46
1505,35,26,46
1506,35,27,46
1507,35,28,46
1508,35,29,46
1509,35,30,46
1510,35,31,46
1511,35,32,46
1512,35,33,46
1513,35,34,46
1514,35,35,46
1515,35,36,46
1516,35,37,46
1517,35,38,46
1518,36,1,60
1519,36,2,60
1520,36,3,60
1521,36,4,60
1522,36,5,60
1523,36,6,60
1524,36,7,60
1525,36,8,60
1526,36,9,60
1527,36,10,60
1528,36,11,60
1529,36,12,60
1530,36,13,60
1531,36,14,60
1532,36,15,60
1533,36,16,60
1534,36,17,60
1535,36,18,60
1536,36,19,60
1537,36,20,60
1538,36,21,60
1539,36,22,60
1540,36,23,60
1541,36,24,60
1542,36,25,60
1543,36,26,60
1544,36,27,60
1545,36,28,60
1546,36,29,60
1547,36,30,60
1548,36,31,60
1549,36,32,60
1550,36,33,60
1551,36,34,60
1552,36,35,60
1553,36,36,60
1554,36,37,60
1555,36,38,60
1556,37,1,50
1557,37,2,50
1558,37,3,50
1559,37,4,50
1560,37,5,50
1561,37,6,50
1562,37,7,49
1563,37,8,49
1564,37,9,49
1565,37,10,49
1566,37,11,49
1567,37,12,49
1568,37,13,48
1569,37,14,48
1570,37,15,48
1571,37,16,48
1572,37,17,48
1573,37,18,48
1574,37,19,48
1575,37,20,48
1576,37,21,48
1577,37,22,47
1578,37,23,47
1579,37,24,47
1580,37,25,47
1581,37,26,47
1582,37,27,47
1583,37,28,47
1584,37,29,47
1585,37,30,47
1586,37,31,47
1587,37,32,47
1588,37,33,47
1589,37,34,47
1590,37,35,47
1591,37,36,47
1592,37,37,47
1593,37,38,47
1594,38,1,55
1595,38,2,54
1596,38,3,53
1597,38,4,53
1598,38,5,52
1599,38,6,52
1600,38,7,52
1601,38,8,51
1602,38,9,51
1603,38,10,51
1604,38,11,51
1605,38,12,51
1606,38,13,51
1607,38,14,50
1608,38,15,50
1609,38,16,50
1610,38,17,50
1611,38,18,50
1612,38,19,50
1613,38,20,50
1614,38,21,50
1615,38,22,50
1616,38,23,50
1617,38,24,50
1618,38,25,50
1619,38,26,50
1620,38,27,50
1621,38,28,50
1622,38,29,50
1623,38,30,50
1624,38,31,50
1625,38,32,50
1626,38,33,50
1627,38,34,50
1628,38,35,50
1629,38,36,50
1630,38,37,49
1631,38,38,49
1632,39,1,50
1633,39,2,50
1634,39,3,49
1635,39,4,49
1636,39,5,49
1637,39,6,48
1638,39,7,48
1639,39,8,48
1640,39,9,48
1641,39,10,48
1642,39,11,48
1643,39,12,48
1644,39,13,48
1645,39,14,48
1646,39,15,48
1647,39,16,48
1648,39,17,48
1649,39,18,47
1650,39,19,47
1651,39,20,47
1652,39,21,47
1653,39,22,47
1654,39,23,47
1655,39,24,47
1656,39,25,47
1657,39,26,47
1658,39,27,47
1659,39,28,47
1660,39,29,47
1661,39,30,47
1662,39,31,47
1663,39,32,46
1664,39,33,46
1665,39,34,46
1666,39,35,46
1667,39,36,46
1668,39,37,46
1669,39,38,46
1670,40,1,55
1671,40,2,55
1672,40,3,56
1673,40,4,56
1674,40,5,56
1675,40,6,58
1676,40,7,59
1677,40,8,60
1678,40,9,60
1679,40,10,60
1680,40,11,61
1681,40,12,61
1682,40,13,62
1683,40,14,62
1684,40,15,62
1685,40,16,63
1686,40,17,63
1687,40,18,63
1688,40,19,63
1689,40,20,62
